datetime,pickup_location,drop_location,distance_km,weather,eta_minutes,surge_multiplier,Traffic Index,Demand Index,weekend,special_events,hour,pickup_category,drop_category,pickup_coordinate,drop_coordinate
2024-12-20 11:02:00,Gurgaon Sector 29,Kashmere Gate Metro Station,37.46,Clear,96.32,1.72,53.02,1.8,0,0,11,Commercial & Industrial Areas,Transit Hubs,"28.4716, 77.0627","28.6639, 77.2323"
2024-12-04 15:12:00,GTB Nagar,"MG Road (Gurgaon, commercial aspect)",40.19,Clear,106.43,1.62,11.07,12.23,0,0,15,Residential Areas,Commercial & Industrial Areas,"28.7138, 77.2307","28.4848, 77.0818"
2025-02-12 05:05:00,Millennium City Centre Gurugram Metro Station(huda city centre),Patparganj Industrial Area,37.98,Clear,85.74,1.79,24.24,19.99,0,0,5,Transit Hubs,Highways & Borders,"28.4658, 77.0782","28.6293, 77.2892"
2024-11-14 02:37:00,Gurgaon Sector 57,Dhaula Kuan,21.06,Rain,46.4,2.07,47.75,31.74,0,0,2,Highways & Borders,Transit Hubs,"28.4899, 77.0706","28.5772, 77.1649"
2024-11-30 04:58:00,Red Fort,Faridabad (Haryana),39.26,Fog,96.47,1.66,15.8,13.03,1,0,4,Tourist Spots,Residential Areas,"28.6562, 77.2391","28.4089, 77.3176"
2025-02-21 12:51:00,Noida Sector 18 Metro Station,Chandni Chowk Metro Station,19.86,Rain,59.54,1.51,8.49,4.86,0,0,12,Transit Hubs,Transit Hubs,"28.577, 77.3205","28.656, 77.2311"
2025-02-10 23:50:00,Janak Puri West Metro Station,Greater Kailash II (M Block Market),26.17,Clear,72.4,1.9,33.15,24.18,0,0,23,Transit Hubs,Residential Areas,"28.6367, 77.0988","28.5388, 77.241"
2025-01-15 00:51:00,Old Rajinder Nagar,IGI Airport,18.82,Clear,53.55,1.72,23.24,15.19,0,0,0,Residential Areas,Transit Hubs,"28.645, 77.18","28.5665, 77.1031"
2024-11-05 00:07:00,Preet Vihar,"Noida Extension (Greater Noida West), (Ghaziabad, UP)",24.31,Humid,56.37,2.55,69.75,58.76,0,0,0,Residential Areas,Residential Areas,"28.6473, 77.2847","28.6119, 77.4446"
2025-01-27 04:38:00,Punjabi Bagh,Kamla Nagar,15.51,Clear,43.35,2.54,67.54,59.64,0,0,4,Residential Areas,Residential Areas,"28.6744, 77.1402","28.675, 77.23"
2024-12-13 03:51:00,Kalkaji (Kalkaji Mandir),Red Fort,20.03,Rain,44.58,1.71,13.93,17.75,0,0,3,Tourist Spots,Tourist Spots,"28.544, 77.25","28.6562, 77.2391"
2025-02-11 11:20:00,Dwarka Sector 12,PVR Vegas Kotak IMAX Dwarka,9.23,Rain,33.15,2.4,99.53,35.19,0,0,11,Residential Areas,Commercial & Industrial Areas,"28.6105, 77.0298","28.6272, 77.0605"
2024-11-01 08:06:00,Ghaziabad (UP),INOX Janak Place West Mall,44.32,Humid,123.87,2.54,83.63,52.12,0,0,8,Residential Areas,Commercial & Industrial Areas,"28.6705, 77.4324","28.6367, 77.0988"
2025-02-11 07:32:00,R.K. Puram Sector 7,Sector 16 (Noida),21.17,Fog,59.07,1.62,39.41,0.51,0,0,7,Residential Areas,Commercial & Industrial Areas,"28.5603, 77.1777","28.5729, 77.3149"
2025-01-13 19:38:00,Cyber Hub,Gurgaon (Haryana),13.61,Fog,35.89,1.91,52.47,16.79,0,0,19,Commercial & Industrial Areas,Residential Areas,"28.4947, 77.0881","28.4595, 77.0266"
2025-02-14 15:55:00,PVR Cinemas Dwarka Sector 21,Defence Colony,27.45,Clear,78.47,1.68,15.91,14.95,0,0,15,Commercial & Industrial Areas,Residential Areas,"28.6022, 77.0475","28.5746, 77.2365"
2025-02-21 10:49:00,Laxmi Nagar,Saket (commercial aspect),21.12,Humid,65.07,2.43,74.3,47.62,0,0,10,Residential Areas,Commercial & Industrial Areas,"28.6281, 77.2764","28.5214, 77.2118"
2024-11-13 02:23:00,Civil Lines,"Sohna Road, Gurgaon",53.33,Clear,115.24,1.61,27.99,4.52,0,0,2,Residential Areas,Highways & Borders,"28.6811, 77.2289","28.3496, 77.0629"
2024-11-25 09:08:00,Uttam Nagar,Hauz Khas Village (commercial nightlife aspect),24.06,Clear,83.28,1.71,30.17,11.06,0,0,9,Residential Areas,Commercial & Industrial Areas,"28.6471, 77.0864","28.5469, 77.2023"
2025-01-07 13:31:00,Unitech Cyber Park (Gurgaon),Preet Vihar,35.89,Rain,119.94,2.48,60.45,57.79,0,0,13,Commercial & Industrial Areas,Residential Areas,"28.4908, 77.0905","28.6473, 77.2847"
2024-12-30 22:42:00,Kamla Nagar,Civil Lines,5.82,Clear,18.06,1.58,15.6,7.45,0,0,22,Residential Areas,Residential Areas,"28.675, 77.23","28.6811, 77.2289"
2025-02-25 03:16:00,Karol Bagh Metro Station,Old Rajinder Nagar,8.26,Humid,23.38,1.71,16.25,16.86,0,0,3,Transit Hubs,Residential Areas,"28.665, 77.196","28.645, 77.18"
2025-02-09 19:02:00,Vasant Kunj (commercial aspect),"Indirapuram (Ghaziabad, UP)",32.2,Clear,84.45,2.49,92.71,44.91,1,0,19,Commercial & Industrial Areas,Residential Areas,"28.5478, 77.1635","28.6481, 77.3656"
2024-12-22 01:23:00,Tikri Border,Vasundhara Enclave,57.84,Clear,127.1,1.6,0.04,15.17,1,0,1,Highways & Borders,Residential Areas,"28.6766, 76.8453","28.6186, 77.2917"
2024-12-03 05:20:00,Dhaula Kuan,Old Rajinder Nagar,14.22,Clear,37.37,1.62,9.96,13.05,0,0,5,Transit Hubs,Residential Areas,"28.5772, 77.1649","28.645, 77.18"
2024-12-13 05:54:00,Red Fort,Mehrauli,24.77,Clear,47.65,1.55,1.75,10.42,0,0,5,Tourist Spots,Residential Areas,"28.6562, 77.2391","28.5146, 77.1894"
2024-11-25 04:35:00,Botanical Garden Metro Station,West Patel Nagar,28.06,Fog,60.65,1.94,33.79,27.67,0,0,4,Transit Hubs,Residential Areas,"28.5647, 77.3392","28.66, 77.175"
2025-01-21 09:25:00,Defence Colony,Khan Market,8.79,Clear,27.94,1.84,51.72,12.34,0,0,9,Residential Areas,Commercial & Industrial Areas,"28.5746, 77.2365","28.6018, 77.2272"
2024-12-23 15:47:00,Jhilmil Industrial Area (Shahdara),World Trade Tower (Noida),19.78,Clear,38.32,1.72,5.21,22.52,0,0,15,Highways & Borders,Commercial & Industrial Areas,"28.6749, 77.3005","28.5663, 77.3255"
2024-12-22 00:14:00,Dwarka Sector 10,Jhilmil Industrial Area (Shahdara),36.97,Clear,81.06,2.42,64.34,51.48,1,0,0,Residential Areas,Highways & Borders,"28.6044, 77.0396","28.6749, 77.3005"
2024-11-30 21:54:00,Central Secretariat Metro Station,Munirka,15.51,Clear,47.7,2.45,80.54,46.83,1,0,21,Transit Hubs,Residential Areas,"28.6129, 77.2295","28.554, 77.17"
2024-12-13 22:20:00,R.K. Puram Sector 7,Munirka,6.23,Clear,18.21,1.6,26.8,3.83,0,0,22,Residential Areas,Residential Areas,"28.5603, 77.1777","28.554, 77.17"
2024-12-16 05:54:00,Noida Sector 18 Metro Station,Faridabad (Haryana),27.43,Clear,71.32,2.46,62.76,55.13,0,0,5,Transit Hubs,Residential Areas,"28.577, 77.3205","28.4089, 77.3176"
2025-02-06 06:03:00,India Gate,Kamla Nagar,13.29,Clear,50.13,2.46,59.22,56.41,0,0,6,Tourist Spots,Residential Areas,"28.6129, 77.2295","28.675, 77.23"
2025-01-15 15:22:00,Ashok Vihar Phase 1,Jawaharlal Nehru University (JNU),24.37,Clear,80.96,2.12,40.32,38.54,0,0,15,Residential Areas,Educational Institutions,"28.7121, 77.1718","28.5672, 77.1622"
2024-12-10 16:04:00,Chandni Chowk,Chandni Chowk Metro Station,5.0,Clear,16.7,1.61,20.14,7.79,0,0,16,Tourist Spots,Transit Hubs,"28.656, 77.2311","28.656, 77.2311"
2024-12-29 23:58:00,Okhla Industrial Estate,Patparganj Industrial Area,17.16,Clear,46.13,1.55,25.76,0.51,1,0,23,Highways & Borders,Highways & Borders,"28.5395, 77.2713","28.6293, 77.2892"
2025-02-12 10:15:00,Dwarka Sector 12,Rajendra Place,23.79,Humid,66.75,2.56,69.12,60.37,0,0,10,Residential Areas,Commercial & Industrial Areas,"28.6105, 77.0298","28.6402, 77.1866"
2025-02-22 21:30:00,Humayun's Tomb,Dilshad Garden,17.98,Clear,39.71,1.83,31.72,19.89,1,0,21,Tourist Spots,Residential Areas,"28.5931, 77.251","28.6888, 77.2709"
2024-12-01 15:35:00,Defence Colony Market,Gurgaon (Haryana),34.01,Clear,88.09,1.56,21.23,2.96,1,0,15,Commercial & Industrial Areas,Residential Areas,"28.5746, 77.2365","28.4595, 77.0266"
2024-11-25 00:29:00,Old Rajinder Nagar,Qutub Minar,21.09,Rain,53.29,1.5,5.72,5.21,0,0,0,Residential Areas,Tourist Spots,"28.645, 77.18","28.5245, 77.1856"
2024-12-27 07:57:00,Anand Vihar,Karol Bagh (commercial aspect),19.31,Clear,51.44,2.55,74.66,57.07,0,0,7,Residential Areas,Commercial & Industrial Areas,"28.6534, 77.3175","28.665, 77.196"
2024-11-06 23:16:00,Jhilmil Industrial Area (Shahdara),Janak Puri West Metro Station,29.16,Clear,89.86,2.43,53.4,56.61,0,0,23,Highways & Borders,Transit Hubs,"28.6749, 77.3005","28.6367, 77.0988"
2024-11-24 04:14:00,Rohini Sector 22,Kashmere Gate Metro Station,21.11,Clear,58.94,2.31,65.76,42.53,1,0,4,Residential Areas,Transit Hubs,"28.7355, 77.1215","28.6639, 77.2323"
2024-11-28 07:28:00,Kamla Nagar,Aerocity,25.22,Clear,59.17,1.77,36.12,13.52,0,0,7,Residential Areas,Commercial & Industrial Areas,"28.675, 77.23","28.5551, 77.1245"
2024-12-01 14:49:00,World Trade Tower (Noida),Dwarka Sector 10,38.88,Clear,108.84,2.47,64.1,55.21,1,0,14,Commercial & Industrial Areas,Residential Areas,"28.5663, 77.3255","28.6044, 77.0396"
2024-11-06 21:05:00,Rohini Sector 16,Kashmere Gate Metro Station,22.74,Fog,59.07,2.36,74.74,42.03,0,0,21,Residential Areas,Transit Hubs,"28.7295, 77.1005","28.6639, 77.2323"
2024-12-06 07:44:00,Dwarka Sector 10,Rajouri Garden Market,17.49,Humid,39.78,1.9,45.29,19.31,0,0,7,Residential Areas,Commercial & Industrial Areas,"28.6044, 77.0396","28.6532, 77.1306"
2025-01-20 06:34:00,Patel Nagar,Humayun's Tomb,17.7,Clear,38.95,1.56,10.26,7.64,0,0,6,Residential Areas,Tourist Spots,"28.665, 77.18","28.5931, 77.251"
2024-12-08 04:27:00,Dwarka Sector 21 Metro Station,Greater Kailash II (M Block Market),29.2,Humid,67.06,1.54,6.17,7.84,1,0,4,Transit Hubs,Residential Areas,"28.6022, 77.0475","28.5388, 77.241"
2025-01-08 16:26:00,Punjabi Bagh,Faridabad (Haryana),46.08,Humid,111.51,2.52,66.97,58.34,0,0,16,Residential Areas,Residential Areas,"28.6744, 77.1402","28.4089, 77.3176"
2024-11-26 06:39:00,Chandni Chowk Metro Station,Humayun's Tomb,13.71,Fog,37.01,1.8,23.12,21.32,0,0,6,Transit Hubs,Tourist Spots,"28.656, 77.2311","28.5931, 77.251"
2024-11-05 22:13:00,Chandni Chowk Metro Station,Saket District Centre,23.13,Clear,58.25,2.25,56.15,41.95,0,0,22,Transit Hubs,Residential Areas,"28.656, 77.2311","28.5208, 77.2155"
2025-01-24 01:35:00,Preet Vihar,Patparganj Industrial Area,7.46,Fog,30.46,2.13,37.77,40.31,0,0,1,Residential Areas,Highways & Borders,"28.6473, 77.2847","28.6293, 77.2892"
2025-02-09 19:59:00,All India Institute of Medical Sciences (AIIMS),Model Town,22.08,Clear,78.98,2.54,83.4,52.46,1,0,19,Educational Institutions,Residential Areas,"28.5717, 77.2089","28.6997, 77.2081"
2024-12-03 03:16:00,Civil Lines,Punjabi Bagh,15.42,Clear,49.84,2.49,56.14,59.9,0,0,3,Residential Areas,Residential Areas,"28.6811, 77.2289","28.6744, 77.1402"
2025-01-05 15:01:00,Chandni Chowk,Connaught Place,8.4,Clear,32.99,2.32,69.31,41.55,1,0,15,Tourist Spots,Commercial & Industrial Areas,"28.656, 77.2311","28.6328, 77.219"
2025-02-26 11:35:00,Red Fort,Mayur Vihar Phase II,15.75,Clear,41.92,2.3,77.58,36.68,0,0,11,Tourist Spots,Residential Areas,"28.6562, 77.2391","28.601, 77.306"
2025-01-31 19:26:00,INOX Janak Place West Mall,Lajpat Nagar IV (Central Market),25.01,Clear,61.43,1.79,41.51,12.77,0,0,19,Commercial & Industrial Areas,Residential Areas,"28.6367, 77.0988","28.5642, 77.2483"
2024-12-18 22:02:00,Model Town,West Patel Nagar,11.56,Rain,27.8,2.3,39.62,52.97,0,0,22,Residential Areas,Residential Areas,"28.6997, 77.2081","28.66, 77.175"
2024-11-05 12:53:00,Kalkaji (Kalkaji Mandir),Vasant Kunj Sector C,16.06,Rain,35.24,1.8,30.59,17.8,0,0,12,Tourist Spots,Residential Areas,"28.544, 77.25","28.5458, 77.1557"
2025-02-28 12:57:00,Jhilmil Industrial Area (Shahdara),Old Delhi Railway,14.2,Clear,34.65,2.47,56.21,58.99,0,0,12,Highways & Borders,Transit Hubs,"28.6749, 77.3005","28.65, 77.2272"
2025-02-21 00:23:00,Inderlok,Noida Sector 137,38.27,Clear,110.46,1.63,11.78,12.97,0,0,0,Transit Hubs,Residential Areas,"28.6775, 77.1643","28.5147, 77.3794"
2025-02-17 15:16:00,Pitampura,Unitech Cyber Park (Gurgaon),32.9,Clear,72.65,1.52,0.1,9.38,0,0,15,Residential Areas,Commercial & Industrial Areas,"28.6975, 77.1264","28.4908, 77.0905"
2025-02-14 00:27:00,Shastri Nagar,Patparganj Industrial Area,12.61,Humid,46.46,2.31,71.88,39.57,0,0,0,Residential Areas,Highways & Borders,"28.6797, 77.2587","28.6293, 77.2892"
2025-02-07 13:25:00,Mehrauli,New Delhi Railway,22.53,Clear,58.83,1.76,35.04,13.08,0,0,13,Residential Areas,Transit Hubs,"28.5146, 77.1894","28.6444, 77.2125"
2025-02-26 10:35:00,Ghaziabad (UP),Saket (commercial aspect),37.62,Clear,118.47,2.42,69.78,48.96,0,0,10,Residential Areas,Commercial & Industrial Areas,"28.6705, 77.4324","28.5214, 77.2118"
2024-12-30 14:45:00,Rajouri Garden Market,Hauz Khas Village (commercial nightlife aspect),21.48,Clear,48.8,2.41,49.93,56.69,0,0,14,Commercial & Industrial Areas,Commercial & Industrial Areas,"28.6532, 77.1306","28.5469, 77.2023"
2025-01-07 11:10:00,Barakhamba Road Metro Station,Ghaziabad (UP),30.05,Clear,82.36,2.7,98.56,58.23,0,0,11,Transit Hubs,Residential Areas,"28.6288, 77.2238","28.6705, 77.4324"
2025-01-24 08:50:00,Kamla Nagar,Golf Course Road (Gurgaon),37.57,Clear,125.89,1.87,45.69,17.06,0,0,8,Residential Areas,Commercial & Industrial Areas,"28.675, 77.23","28.4618, 77.0947"
2024-12-12 21:37:00,Dilli Haat (INA),R.K. Puram Sector 7,9.95,Clear,33.32,2.44,87.61,43.19,0,0,21,Tourist Spots,Residential Areas,"28.5722, 77.2177","28.5603, 77.1777"
2024-11-13 16:04:00,Gurgaon Sector 57,Pitampura,33.46,Clear,106.56,1.95,36.26,27.14,0,0,16,Highways & Borders,Residential Areas,"28.4899, 77.0706","28.6975, 77.1264"
2024-12-17 13:02:00,Aerocity,Sector 62 (Noida),34.25,Fog,95.56,3.0,54.97,100.0,0,1,13,Commercial & Industrial Areas,Commercial & Industrial Areas,"28.5551, 77.1245","28.6187, 77.3634"
2024-11-08 05:39:00,Kamla Nagar,Patparganj Industrial Area,14.23,Clear,34.64,1.93,32.55,27.0,0,0,5,Residential Areas,Highways & Borders,"28.675, 77.23","28.6293, 77.2892"
2024-12-09 10:01:00,Noida Sector 150,Cyber Hub,42.77,Clear,127.81,1.72,40.41,7.68,0,0,10,Residential Areas,Commercial & Industrial Areas,"28.4808, 77.4098","28.4947, 77.0881"
2025-02-10 04:59:00,Hauz Khas Village,Patparganj Industrial Area,19.99,Rain,58.79,2.55,72.02,58.22,0,0,4,Residential Areas,Highways & Borders,"28.5469, 77.2023","28.6293, 77.2892"
2024-11-13 20:13:00,Jawaharlal Nehru University (JNU),Model Town,23.48,Clear,52.65,1.95,62.88,15.57,0,0,20,Educational Institutions,Residential Areas,"28.5672, 77.1622","28.6997, 77.2081"
2024-12-18 05:58:00,Janakpuri Block C,Pitampura,14.38,Fog,31.32,1.68,11.67,16.26,0,0,5,Residential Areas,Residential Areas,"28.6315, 77.0988","28.6975, 77.1264"
2025-02-08 14:31:00,Shastri Nagar,Patparganj Industrial Area,12.61,Clear,41.91,2.27,62.2,40.52,1,0,14,Residential Areas,Highways & Borders,"28.6797, 77.2587","28.6293, 77.2892"
2024-11-29 14:34:00,Golf Course Road (Gurgaon),Cyber Hub,9.46,Clear,25.07,1.65,19.16,10.82,0,0,14,Commercial & Industrial Areas,Commercial & Industrial Areas,"28.4618, 77.0947","28.4947, 77.0881"
2025-01-18 19:31:00,Golf Course Road (Gurgaon),R.K. Puram Sector 7,21.35,Clear,45.47,1.8,33.05,16.79,1,0,19,Commercial & Industrial Areas,Residential Areas,"28.4618, 77.0947","28.5603, 77.1777"
2024-12-18 16:50:00,Uttam Nagar,Qutub Minar,25.07,Clear,63.09,2.29,42.42,50.33,0,0,16,Residential Areas,Tourist Spots,"28.6471, 77.0864","28.5245, 77.1856"
2025-01-03 01:59:00,GTB Nagar,Karol Bagh,12.67,Clear,36.31,2.38,59.61,50.35,0,0,1,Residential Areas,Residential Areas,"28.7138, 77.2307","28.665, 77.196"
2024-12-17 19:49:00,Hauz Khas Village (commercial nightlife aspect),Vasundhara Enclave,19.19,Clear,60.0,3.04,89.37,88.33,0,1,19,Commercial & Industrial Areas,Residential Areas,"28.5469, 77.2023","28.6186, 77.2917"
2025-01-28 22:01:00,Karol Bagh Metro Station,West Patel Nagar,7.55,Rain,19.92,1.6,20.53,6.87,0,0,22,Transit Hubs,Residential Areas,"28.665, 77.196","28.66, 77.175"
2025-02-09 08:52:00,Mehrauli,Hauz Khas Village (commercial nightlife aspect),9.57,Clear,33.11,2.58,94.27,50.73,1,0,8,Residential Areas,Commercial & Industrial Areas,"28.5146, 77.1894","28.5469, 77.2023"
2025-01-14 21:22:00,Defence Colony,Vasundhara Enclave,13.73,Rain,41.48,2.33,94.13,32.09,0,0,21,Residential Areas,Residential Areas,"28.5746, 77.2365","28.6186, 77.2917"
2024-12-10 09:51:00,Kamla Nagar,Karol Bagh (commercial aspect),9.2,Rain,40.39,2.56,82.2,54.5,0,0,9,Residential Areas,Commercial & Industrial Areas,"28.675, 77.23","28.665, 77.196"
2024-11-16 14:37:00,Rohini Sector 16,Karol Bagh,19.11,Clear,47.46,1.62,4.87,15.12,1,0,14,Residential Areas,Residential Areas,"28.7295, 77.1005","28.665, 77.196"
2025-02-19 06:26:00,Mehrauli,Lotus Temple,14.59,Rain,39.14,1.86,15.11,28.7,0,0,6,Residential Areas,Tourist Spots,"28.5146, 77.1894","28.5527, 77.2588"
2025-02-12 18:14:00,"Cinépolis, Janakpuri South",Dwarka Sector 12,13.55,Clear,46.33,1.87,50.26,15.17,0,0,18,Commercial & Industrial Areas,Residential Areas,"28.6315, 77.0988","28.6105, 77.0298"
2024-12-01 15:45:00,Karol Bagh,Humayun's Tomb,16.56,Clear,37.37,1.69,19.57,14.12,1,0,15,Residential Areas,Tourist Spots,"28.665, 77.196","28.5931, 77.251"
2024-11-16 19:15:00,Jasola,Saket District Centre,15.64,Clear,38.88,1.96,29.34,30.43,1,0,19,Commercial & Industrial Areas,Residential Areas,"28.5508, 77.2996","28.5208, 77.2155"
2024-11-27 23:46:00,Dhaula Kuan,Chandni Chowk Metro Station,18.06,Clear,38.32,2.16,23.78,48.28,0,1,23,Transit Hubs,Transit Hubs,"28.5772, 77.1649","28.656, 77.2311"
2024-11-15 17:39:00,Jamia Millia Islamia,Greater Kailash II (M Block Market),9.83,Clear,35.36,1.95,49.84,21.46,0,0,17,Educational Institutions,Residential Areas,"28.5635, 77.2711","28.5388, 77.241"
2024-12-26 04:54:00,Dhaula Kuan,"Sohna Road, Gurgaon",37.64,Clear,84.34,2.57,71.85,59.46,0,0,4,Transit Hubs,Highways & Borders,"28.5772, 77.1649","28.3496, 77.0629"
2025-01-19 04:21:00,Dwarka Sector 6,"Sohna Road, Gurgaon",40.85,Clear,132.88,2.16,39.51,41.91,1,0,4,Residential Areas,Highways & Borders,"28.6181, 77.0519","28.3496, 77.0629"
2024-11-18 09:24:00,Dwarka Sector 6,Cyber Hub,22.0,Clear,54.67,1.82,31.18,19.13,0,0,9,Residential Areas,Commercial & Industrial Areas,"28.6181, 77.0519","28.4947, 77.0881"
2024-12-22 08:52:00,"Noida Extension (Greater Noida West), (Ghaziabad, UP)","Cinépolis, Janakpuri South",45.59,Humid,98.78,2.64,82.37,60.95,1,0,8,Residential Areas,Commercial & Industrial Areas,"28.6119, 77.4446","28.6315, 77.0988"
2024-12-27 01:11:00,Civil Lines,Noida Sector 150,39.11,Clear,79.53,1.66,5.16,17.84,0,0,1,Residential Areas,Residential Areas,"28.6811, 77.2289","28.4808, 77.4098"
2025-01-07 12:26:00,Anand Vihar,Mayur Vihar Phase II,12.12,Clear,35.51,2.06,45.14,31.59,0,0,12,Residential Areas,Residential Areas,"28.6534, 77.3175","28.601, 77.306"
2025-02-06 08:08:00,Model Town,PVR Cinemas Dwarka Sector 21,27.87,Clear,64.9,1.67,27.67,8.94,0,0,8,Residential Areas,Commercial & Industrial Areas,"28.6997, 77.2081","28.6022, 77.0475"
2024-11-28 19:01:00,Nehru Place,Hauz Khas Village,10.43,Clear,36.36,1.93,38.19,24.99,0,0,19,Commercial & Industrial Areas,Residential Areas,"28.5499, 77.2485","28.5469, 77.2023"
2024-12-06 10:48:00,Laxmi Nagar,Jamia Millia Islamia,13.64,Clear,40.63,2.54,80.34,53.73,0,0,10,Residential Areas,Educational Institutions,"28.6281, 77.2764","28.5635, 77.2711"
2025-01-31 18:15:00,Rajouri Garden Market,Shastri Nagar,20.41,Humid,48.42,1.97,32.08,30.58,0,0,18,Commercial & Industrial Areas,Residential Areas,"28.6532, 77.1306","28.6797, 77.2587"
2025-01-25 13:01:00,Jhilmil Industrial Area (Shahdara),Shastri Nagar,9.94,Clear,38.41,2.25,37.47,49.92,1,0,13,Highways & Borders,Residential Areas,"28.6749, 77.3005","28.6797, 77.2587"
2024-12-30 04:25:00,Karol Bagh,Civil Lines,9.41,Clear,30.13,2.25,62.66,38.98,0,0,4,Residential Areas,Residential Areas,"28.665, 77.196","28.6811, 77.2289"
2025-01-26 01:55:00,IGI Airport,Patel Nagar,20.93,Clear,65.5,1.61,19.77,8.12,1,0,1,Transit Hubs,Residential Areas,"28.5665, 77.1031","28.665, 77.18"
2025-02-24 14:46:00,Candor TechSpace (Gurgaon),Sector 18 (Noida),37.96,Clear,103.04,2.44,59.45,55.17,0,0,14,Commercial & Industrial Areas,Commercial & Industrial Areas,"28.4651, 77.0699","28.577, 77.3205"
2024-11-19 07:16:00,Hauz Khas Village,Gurgaon Sector 29,24.21,Clear,55.63,2.22,67.01,35.13,0,0,7,Residential Areas,Commercial & Industrial Areas,"28.5469, 77.2023","28.4716, 77.0627"
2024-12-01 21:16:00,Old Rajinder Nagar,Chattarpur,24.22,Clear,91.65,2.61,75.23,61.71,1,0,21,Residential Areas,Residential Areas,"28.645, 77.18","28.502, 77.16"
2025-01-25 18:02:00,Candor TechSpace (Gurgaon),Rohini Sector 22,41.58,Clear,93.86,2.06,53.04,28.68,1,0,18,Commercial & Industrial Areas,Residential Areas,"28.4651, 77.0699","28.7355, 77.1215"
2025-01-01 22:02:00,Anand Vihar ISBT,Uttam Nagar,32.24,Clear,72.82,1.44,7.52,0.23,0,0,22,Highways & Borders,Residential Areas,"28.6519, 77.319","28.6471, 77.0864"
2025-02-13 14:23:00,Uttam Nagar,Laxmi Nagar,27.4,Rain,83.08,2.38,71.26,45.61,0,0,14,Residential Areas,Residential Areas,"28.6471, 77.0864","28.6281, 77.2764"
2025-01-06 17:11:00,Delhi University (North Campus),Dwarka Sector 10,28.95,Clear,101.27,1.84,50.72,12.45,0,0,17,Educational Institutions,Residential Areas,"28.6943, 77.2166","28.6044, 77.0396"
2025-02-22 13:59:00,Ghaziabad (UP),Khan Market,30.72,Rain,63.04,1.59,5.23,12.24,1,0,13,Residential Areas,Commercial & Industrial Areas,"28.6705, 77.4324","28.6018, 77.2272"
